glue,term,count,examples,safe_to_batch_approve
prefix,distro,1255,"['DistroJockey', 'Distrojockey', 'Distros', 'distrobution', 'distros']",False
prefix,server,1232,"['server1', 'server10', 'serveral', 'servername', 'servers']",False
prefix,apple,1206,"['Applet', 'apples', 'applet', 'appletalk', 'applets']",False
prefix,disc,1202,"['discografia', 'disconect', 'discovery', 'discs', 'discuss']",False
prefix,mount,1166,"['mountains', 'mounting', 'mountpoint', 'mountpoints', 'mounts']",False
prefix,head,1133,"['Headphone', 'headphone', 'headphones', 'headset', 'headsets']",False
prefix,update,1127,"['UpdateManager', 'Updatemanager', 'updatemanager', 'updater', 'updates']",False
prefix,install,1100,"['InstallPidgin', 'installaed', 'installe', 'installs', 'installvia']",False
prefix,module,1032,"['MODULES', 'moduleName', 'module_name', 'modulename', 'modules']",False
prefix,apache,1024,"['Apache2', 'apache2', 'apache22', 'apachectl', 'apachefriends']",False
prefix,file,966,"['filemanager', 'filemanagers', 'filepaths', 'filetypes', 'filezilla']",False
prefix,script,938,"['scripting', 'scriptkiddies', 'scriptname', 'scripts', 'scriptwarlock']",False
prefix,linux,930,"['linux4u', 'linuxlive', 'linuxmce', 'linuxmint', 'linuxminthelp']",False
prefix,application,883,"['APPLICATIONS', 'Applications', 'application_name', 'applicationname', 'applications']",False
prefix,source,876,"['sourcecode', 'sourceforge', 'sourcelist', 'sourcers', 'sources']",False
prefix,format,857,"['Formatting', 'formating', 'formatstrings', 'formatted', 'formatting']",False
prefix,computer,843,"['computer12345', 'computerbank', 'computerex', 'computername', 'computers']",False
prefix,version,817,"['Versions', 'versionchanges', 'versione', 'versioning', 'versions']",False
prefix,repo,814,"['reponding', 'report', 'reported', 'reporting', 'reports']",False
prefix,reboot,802,"['Rebooting', 'rebooted', 'rebootin', 'rebooting', 'reboots']",False
prefix,channel,753,"['channel_nanme', 'channell', 'channelname', 'channelofyourchoice', 'channels']",False
prefix,java,739,"['Javascript', 'java6', 'java_home', 'javac', 'javascript']",False
prefix,upgrade,716,"['Upgraded', 'Upgrades', 'upgraded', 'upgrader', 'upgrades']",False
prefix,port,708,"['porta', 'portueguese', 'portugue', 'portuguese', 'português']",False
prefix,result,706,"['RESULTS', 'Results', 'result_true', 'resulted', 'results']",False
prefix,machine,699,"['Machinery', 'Machines', 'machinee', 'machineguns', 'machines']",False
prefix,kernel,629,"['Kernels', 'kernell', 'kernelnewbies', 'kernels', 'kernelspace']",False
prefix,synaptic,625,"['Synaptics', 'SynapticsTouchpad', 'synaptice', 'synapticpacket', 'synaptics']",False
prefix,find,615,"['finde', 'finding', 'findout', 'finds', 'findsmb']",False
prefix,reinstall,613,"['Reinstalling', 'reinstallation', 'reinstalling', 'reinstalll', 'reinstalls']",False
prefix,folder,608,"['Folders', 'folder1', 'foldername', 'folders', 'folderview']",False
prefix,monitor,606,"['Monitors', 'monitored', 'monitoring', 'monitorizing', 'monitors']",False
prefix,data,580,"['database', 'databases', 'datacd', 'dataloss', 'datasheet']",False
prefix,icon,575,"['iconfig', 'icons', 'iconset', 'icontheme', 'iconv']",False
prefix,process,567,"['Processes', 'processed', 'processes', 'processing', 'processname']",False
prefix,chat,557,"['Chatzilla', 'chatroom', 'chats', 'chatting', 'chatzilla']",False
prefix,site,553,"['sitecom', 'sitee', 'sitemap', 'sitemapgen', 'sites']",False
prefix,local,526,"['localc', 'locale', 'localedef', 'locales', 'locality']",False
prefix,pastebin,522,"['pastebinf', 'pastebinit', 'pastebinned', 'pastebinning', 'pastebins']",False
prefix,graphic,521,"['Graphical', 'GraphicalTheme', 'graphicaal', 'graphical', 'graphicalley']",False
prefix,crash,521,"['crash1', 'crashcourse', 'crashdown', 'crashes', 'crashhanddie']",False
prefix,default,517,"['defaultapp', 'defaulted', 'defaulting', 'defaultly', 'defaults']",False
prefix,burn,512,"['burnGiants', 'burned', 'burner', 'burners', 'burns']",False
prefix,opera,507,"['Operation', 'operate', 'operation', 'operations', 'operatives']",False
prefix,intel,502,"['intelHD', 'intellectually', 'intellegence', 'intelligence', 'intellisense']",False
prefix,root,492,"['rootirc', 'rootkit', 'rootkitted', 'rootnoobtux', 'rootshell']",False
prefix,sudo,491,"['sudobash', 'sudoedit', 'sudoer', 'sudoers', 'sudoroot']",False
prefix,state,475,"['States', 'stated', 'statement', 'statements', 'states']",False
prefix,admin,463,"['administraitor', 'administrative', 'administrators', 'admins', 'adminship']",False
prefix,desktop,455,"['DesktopEnvironment', 'desktopUB1004', 'desktopnexus', 'desktopp', 'desktops']",False
prefix,scroll,453,"['scrollback', 'scrollback_lines', 'scrollbars', 'scrolling', 'scrollwheel']",False
prefix,connection,445,"['Connections', 'connectionA', 'connectiong', 'connectionmine', 'connections']",False
prefix,laptop,442,"['LaptopTestingTeam', 'Laptops', 'laptopmode', 'laptops', 'laptopt']",False
prefix,convert,440,"['ConvertXtoDVD', 'converter', 'converting', 'convertor', 'converts']",False
prefix,comment,436,"['commentary', 'commented', 'commenting', 'commentory', 'comments']",False
prefix,dhcp,428,"['DHCPOFFERS', 'dhcpcd', 'dhcpd', 'dhcpdump', 'dhcpoffers']",False
prefix,clone,410,"['CloneZilla', 'Clonezilla', 'cloned', 'clones', 'clonezilla']",False
prefix,filesystem,407,"['FileSystemCHeck', 'FileSystemChecK', 'FileSystems', 'Filesystems', 'filesystems']",False
prefix,return,404,"['returncode', 'returned', 'returning', 'returns', 'returnvalue']",False
prefix,http,392,"['httpassword', 'httpd', 'httpd2', 'httptrack', 'httptunnel']",False
prefix,idle,389,"['IdleOne', 'Idleone', 'Idlework', 'idleone', 'idles']",False
prefix,packet,388,"['packetcollision', 'packetmanager', 'packets', 'packetsniff', 'packetstorm']",False
prefix,symlink,384,"['Symlinks', 'symlinked', 'symlinkin', 'symlinking', 'symlinks']",False
prefix,paste,383,"['pastebox', 'pasted', 'pasteeater', 'pasteflooding', 'pastein']",False
prefix,repos,378,"['repositeries', 'reposition', 'repositionable', 'repost', 'reposting']",False
prefix,xfce,373,"['XFCE4', 'XFce4', 'Xfcetaskmanager', 'xfce4', 'xfcefreak']",False
prefix,torrent,371,"['Torrents', 'torrented', 'torrenting', 'torrents', 'torrentz']",False
prefix,compiz,365,"['CompizConfig', 'CompizConfigSettingsManager', 'CompizFusion', 'compizconfig', 'compize']",False
prefix,speed,348,"['speedruns', 'speeds', 'speedstep', 'speedtest', 'speedy']",False
prefix,unmount,347,"['Unmounting', 'unmounted', 'unmounting', 'unmounts', 'unmountu']",False
prefix,player,341,"['Players', 'player1up', 'playeras', 'playername', 'players']",False
prefix,copy,332,"['copying', 'copyleft', 'copypastes', 'copyright', 'copyrigth']",False
prefix,password,328,"['PasswordAuthentication', 'Passwords', 'passworded', 'passwordless', 'passwords']",False
prefix,filename,318,"['FILENAMEYOUWANT', 'FilenameTypeSize', 'filenameandpath', 'filenamehere', 'filenames']",False
prefix,system,316,"['System76', 'SystemRescueCD', 'system76', 'systemdisk', 'systemrescuecd']",False
prefix,bash,315,"['bash_history', 'bash_profile', 'bash_rc', 'bashes', 'bashrc']",False
prefix,grub,313,"['Grub4dos', 'grub1', 'grub4dos', 'grubing', 'grubs']",False
prefix,ntfs,303,"['ntfs3g', 'ntfsclone', 'ntfsfix', 'ntfsprogs', 'ntfstools']",False
prefix,files,296,"['filesfrom', 'filesharing', 'filesize', 'filesizes', 'filesys']",False
prefix,envy,275,"['Envy24Control', 'envyNB', 'envycore', 'envying', 'envynv']",False
prefix,automount,266,"['Automounting', 'automounted', 'automounter', 'automounting', 'automounts']",False
prefix,ping,263,"['Pinguy', 'pinguins', 'pingus', 'pinguy', 'pinguyos']",False
prefix,window,263,"['WindowManager', 'Windowz', 'windowmaker', 'windowmanager', 'windowzs']",False
prefix,fglrx,259,"['fglrx_pci', 'fglrx_xgamma', 'fglrxcofig', 'fglrxconfig', 'fglrxinfo']",False
prefix,panel,249,"['panel2', 'panell', 'panelreset', 'panels', 'panelsettings']",False
prefix,resolution,242,"['resolutiondisplay', 'resolutioni', 'resolutionis', 'resolutions', 'resolutionyet']",False
prefix,address,220,"['ADDRESS_OF_AP', 'AddressFamily', 'addressed', 'addresses', 'addressing']",False
prefix,login,218,"['loginfenster', 'loging', 'loginmanager', 'logins', 'loginscreen']",False
prefix,locate,216,"['locateD', 'located', 'locatedb', 'locateing', 'locater']",False
prefix,browser,215,"['Browsers', 'browsers', 'browsershoots', 'browsershots', 'browsertabs']",False
prefix,mysql,215,"['mysql4', 'mysql_connect', 'mysqladmin', 'mysqld', 'mysqldump']",False
prefix,router,205,"['RouterName', 'routerbox', 'routerip', 'routers', 'routerside']",False
prefix,account,201,"['Accounts', 'accountancy', 'accounting', 'accounts', 'accountsservice']",False
prefix,tutorial,199,"['Tutorials', 'tutorials']",False
prefix,pull,199,"['Pulldown', 'Pulling', 'pulled', 'pulling', 'pulls']",False
prefix,output,194,"['outputfile', 'outputfilename', 'outputing', 'outputless', 'outputs']",False
prefix,display,194,"['DisplayCalibrator', 'displayed', 'displayes', 'displaying', 'displaylink']",False
prefix,firefox,193,"['Firefoxz', 'firefox3', 'firefox4', 'firefox5', 'firefoxy']",False
prefix,quake,192,"['QuakeWorld', 'quake2', 'quake3', 'quakeguy', 'quakelive']",False
prefix,firewall,189,"['Firewalls', 'firewalled', 'firewalling', 'firewalll', 'firewalls']",False
prefix,terminal,184,"['terminalbased', 'terminalclient', 'terminall', 'terminals', 'terminalvelocity']",False
prefix,volume,182,"['volumecontrol', 'volumeid', 'volumen', 'volumename', 'volumes']",False
prefix,website,182,"['Websites', 'websited', 'websites']",False
prefix,snap,175,"['snapping', 'snappy', 'snapscan', 'snapshot', 'snapshots']",False
prefix,workspace,166,"['Workspaces', 'workspace1', 'workspace2', 'workspaces', 'workspacesd']",False
prefix,gimp,160,"['GIMPshop', 'Gimpshop', 'gimpnet', 'gimpshop', 'gimpy1382']",False
prefix,modem,152,"['ModemData', 'Modems', 'modemData', 'modemmanager', 'modems']",False
prefix,size,149,"['size_pe_lv', 'sized', 'sizes', 'sizeview', 'sizez']",False
prefix,screensaver,149,"['Screensavers', 'screensaverlist', 'screensavers']",False
prefix,memtest,148,"['MemTest86', 'Memtest86', 'memtest86', 'memtest86x', 'memtester']",False
prefix,cdrom,147,"['CDROMS', 'CDROMs', 'cdromRAdams', 'cdroms', 'cdromupgrade']",False
prefix,updated,143,"['updatedb', 'updatedd', 'updatedefault', 'updatedefaultentry', 'updateds']",False
prefix,software,141,"['SoftwarePedia', 'softwarecenter', 'softwarecentre', 'softwarem', 'softwares']",False
prefix,processor,140,"['Processors', 'processorE2140', 'processors']",False
prefix,less,136,"['lesser', 'lesshaste', 'lession', 'lesson', 'lessy']",False
prefix,wifi,136,"['WifiRadar', 'wifi0', 'wificard', 'wifinetwork', 'wifis']",False
prefix,wireless,133,"['WirelessLAN', 'Wirelessly', 'wirelesscard', 'wirelessly', 'wirelesss']",False
prefix,card,130,"['Cardapio', 'cardctl', 'carding', 'cardnd', 'cardreader']",False
prefix,unity,123,"['Unity2D', 'Unity3D', 'Unityt', 'unity3d', 'unitybar']",False
prefix,shell,122,"['shellinabox', 'shellow', 'shells', 'shellscript', 'shellscripts']",False
prefix,push,122,"['Pushing', 'pushd', 'pushed', 'pushin', 'pushing']",False
prefix,sata,118,"['SATA3s', 'sata_via', 'satacdburners', 'satanic', 'satanist']",False
prefix,nameserver,116,"['Nameservers', 'nameservers']",False
prefix,windows,114,"['WindowsOS', 'windowsa', 'windowskey', 'windowsraid', 'windowsss']",False
prefix,beta,111,"['BETA2', 'BETAMINE', 'Beta2', 'beta1', 'beta2']",False
prefix,page,111,"['pagedown', 'pageeeeeee', 'pagefile', 'pagent', 'pageup']",False
prefix,ext2,110,"['Ext2Fsd', 'ext2fs', 'ext2ifs', 'ext2ntfs', 'ext2resize']",False
prefix,keyboard,110,"['Keyboard0', 'KeyboardInterrupt', 'keyboardlayout', 'keyboards', 'keyboardshortcuts']",False
prefix,mplayer,107,"['mplayer2', 'mplayer32', 'mplayer_mozilla', 'mplayerhq', 'mplayerplug']",False
prefix,wiki,106,"['WikiLeaks', 'WikidPad', 'wikileaks', 'wikipage', 'wikis']",False
prefix,xmms,104,"['XMMS2', 'xmms1', 'xmms2', 'xmms_2_', 'xmmsctrl']",False
prefix,setup,104,"['setupUbuntu', 'setupcon', 'setupguide', 'setups', 'setuptools']",False
prefix,chmod,103,"['CHMODed', 'chmod777', 'chmodded', 'chmoded', 'chmoding']",False
prefix,mate,103,"['mater', 'material', 'materialize', 'mates', 'matey']",False
prefix,grep,102,"['Grephics', 'grepory', 'grepped', 'grepping', 'greps']",False
prefix,protocol,102,"['Protocol2', 'protocol1', 'protocoll', 'protocolo', 'protocols']",False
prefix,daemon,99,"['DaemonLee', 'Daemones', 'daemonize', 'daemons', 'daemontools']",False
prefix,username,94,"['Usernames', 'username1', 'username2', 'usernamehere', 'usernames']",False
prefix,export,93,"['export2mp3', 'exported', 'exportfs', 'exporting', 'exports']",False
prefix,which,91,"['Whichever', 'whichc', 'whichcountry', 'whicherver', 'whichever']",False
prefix,nvidia,90,"['NvidiaGeforce2Go', 'nvidia_bl_dkms', 'nvidia_current', 'nvidiafb', 'nvidias']",False
prefix,subnet,89,"['subnetmask', 'subnets', 'subnetted', 'subnetting', 'subnetwork']",False
prefix,cache,87,"['Cached', 'cache_surplus', 'cached', 'cacheing', 'caches']",False
prefix,livecd,87,"['LiveCDs', 'liveCD5', 'liveCDs', 'livecde', 'livecds']",False
prefix,radeon,83,"['RadeonHD', 'radeon9000', 'radeon9700', 'radeonhd', 'radeons']",False
prefix,acer,78,"['acerimmer', 'acerimmer_', 'acero', 'acers', 'aceruser']",False
prefix,wildcard,77,"['wildcarded', 'wildcarding', 'wildcards']",False
prefix,dualboot,75,"['dualbooted', 'dualbooting', 'dualboots']",False
prefix,string,74,"['string1', 'string2', 'stringgreaterthan13characters', 'strings', 'stringy']",False
prefix,directory,73,"['DirectoryIndex', 'directory1', 'directory2', 'directoryname', 'directorys']",False
prefix,lamp,72,"['LAMPP', 'lampa', 'lampo', 'lampp', 'lamps']",False
prefix,64bit,70,"['64bitflash', '64bitness', '64bits', '64bitty', '64bitubuntuftw']",False
prefix,splash,69,"['splashimage', 'splashote', 'splashscreen', 'splashscreens', 'splashy']",False
prefix,debian,68,"['DebianLive', 'debianers', 'debianish', 'debianized', 'debians']",False
prefix,bios,68,"['BIOSes', 'BiosElement', 'bios_version', 'bioses', 'biosupdate']",False
prefix,vesa,68,"['Vesaworked', 'vesafb', 'vesamenu', 'vesawont']",False
prefix,thinkpad,64,"['ThinkPads', 'Thinkpads', 'thinkpad_ec', 'thinkpads', 'thinkpaduser']",False
prefix,automate,64,"['automated', 'automaters', 'automates']",False
prefix,proxy,63,"['proxychain', 'proxychains', 'proxyman', 'proxys', 'proxyserver']",False
prefix,object,63,"['Objective', 'objective', 'objectives', 'objectorientated', 'objects']",False
prefix,echo,63,"['Echosystm', 'echoed', 'echoes', 'echoo', 'echosystm']",False
prefix,none,62,"['nonefree', 'nones', 'nonesense', 'nonetheles', 'nonetheless']",False
prefix,dvds,62,"['DVDSHRINK', 'DVDShrink', 'DVDStyler', 'dvdshrink', 'dvdstyler']",False
prefix,dell,61,"['DellGuy', 'DellLatitudeC400', 'Dellbuntus', 'della', 'dellminiuser']",False
prefix,device,57,"['Devicekit', 'devicekit', 'devicename', 'devicenode', 'devicers']",False
prefix,repository,56,"['Repositorys', 'repositoryies', 'repositorys', 'repositoryurl']",False
prefix,emacs,55,"['emacs21', 'emacs22', 'emacs23', 'emacsonline', 'emacspeak']",False
prefix,udev,54,"['udevd', 'udevinfo', 'udevmonitor', 'udevplug', 'udevrules']",False
prefix,precise,53,"['Precisely', 'preciself', 'precisely']",False
prefix,automatix,53,"['Automatix2', 'Automatixs', 'automatix2']",False
prefix,global,52,"['globaladvance', 'globally', 'globalmenu', 'globals', 'globaly']",False
prefix,installer,52,"['installer36', 'installerade', 'installeren', 'installeret', 'installers']",False
prefix,installation,51,"['Installationskandidaten', 'installationg', 'installations', 'installationskandidat', 'installationwise']",False
prefix,mobo,49,"['Mobos', 'mobodo', 'mobomanual', 'mobomelter', 'mobos']",False
prefix,telnet,48,"['TELNETING', 'telnetd', 'telneted', 'telneting', 'telnetting']",False
prefix,more,47,"['moreeee', 'moreless', 'moreover', 'moreso', 'moreutils']",False
prefix,nano,46,"['Nanothief', 'nano_', 'nanorc', 'nanotube', 'nanotubes']",False
prefix,motherboard,45,['motherboards'],False
prefix,purge,44,"['PurgeEmpathy', 'purged', 'purgegnome', 'purgeing', 'purges']",False
prefix,dash,43,"['dashavoo', 'dashboard', 'dashboards', 'dashes', 'dashua']",False
prefix,array,42,"['array2', 'array3', 'array4', 'array6', 'arrays']",False
prefix,broken,42,"['brokenHDD', 'brokenb', 'brokenbin', 'brokenflash', 'brokenvids']",False
prefix,lucid,41,"['LucidPerry', 'LucidVisions', 'Luciddb', 'Lucidia', 'lucida']",False
prefix,ctrl,39,"['CTRLs', 'CtrlAltF7', 'ctrl_alt_f1', 'ctrlalt', 'ctrls']",False
prefix,gmail,39,"['GMailFS', 'GmailFS', 'gmailaccount', 'gmailfs', 'gmails']",False
prefix,pulse,39,"['PulseAudia', 'pulseaduio', 'pulseezar', 'pulsesaudio', 'pulseuadio']",False
prefix,plugin,39,"['plugined', 'pluginfile', 'pluging', 'plugings', 'pluginlaserjet']",False
prefix,chown,39,"['chownTown', 'chowned', 'chowning', 'chownmount', 'chowns']",False
prefix,ports,38,"['portscan', 'portscanner', 'portscanners', 'portscanning', 'portsentry']",False
prefix,commit,36,"['commited', 'commith', 'commiting', 'commits', 'committed']",False
prefix,azure,34,"['azureal', 'azureous', 'azures', 'azureuas', 'azureues']",False
prefix,graphics,33,"['GraphicsMagic', 'graphicscard', 'graphicshandler', 'graphicsmagick', 'graphicss']",False
prefix,howto,32,"['HowtoForge', 'howtobecome133thackz0r', 'howtofix', 'howtoforge', 'howtogeek']",False
prefix,microsoft,32,"['Microsofts', 'microsoftically', 'microsofts', 'microsofttt', 'microsofty']",False
prefix,rsync,32,"['rsyncd', 'rsynced', 'rsynch', 'rsyncing', 'rsyncs']",False
prefix,ndiswrapper,32,"['ndiswrapperblahblah', 'ndiswrapperd', 'ndiswrappered', 'ndiswrapperl', 'ndiswrappers']",False
prefix,bootloader,31,"['bootloaderr', 'bootloaders']",False
prefix,vmware,31,"['vmware2', 'vmwareplayer', 'vmwares', 'vmwareserver', 'vmwareworkstation']",False
prefix,cloud,31,"['CloudBerry', 'CloudMonkee', 'cloudbook', 'clouds', 'cloudyLights']",False
prefix,xterm,30,"['xterminal', 'xtermrc', 'xterms']",False
prefix,vector,28,"['vectorbased', 'vectorgraphics', 'vectorizers', 'vectorlinux', 'vectory']",False
prefix,squid,28,"['squid0', 'squid2', 'squidbulletshighlight', 'squidguard', 'squidly']",False
prefix,cheese,28,"['CheeseGardener', 'Cheesetracker', 'cheesebo1', 'cheesetracker', 'cheesew']",False
prefix,dapper,28,"['DapperDrake', 'Dappers', 'dapperandbeprecise', 'dapperdrake', 'dappers']",False
prefix,breezy,28,"['BreezyUpgrade', 'BreezyUpgradeNotes', 'breezy64', 'breezys', 'breezyupgrade']",False
prefix,curl,27,"['curley_sue', 'curlftpfs', 'curlftps', 'curly', 'curly_q']",False
prefix,videocard,26,"['VideoCards', 'Videocard0', 'Videocards', 'videocards']",False
prefix,launcher,25,"['Launchers', 'launcherlist', 'launchers']",False
prefix,unetbootin,24,"['Unetbooting', 'unetbootindefault', 'unetbooting', 'unetbootinl', 'unetbootinm']",False
prefix,adobe,24,"['AdobeAIRINstaller', 'adobeflash', 'adobepdf', 'adobephotoshop', 'adobes']",False
prefix,compiler,24,"['Compilers', 'compilers', 'compilerwriter']",False
prefix,powerbook,24,"['PowerBooks', 'Powerbooks', 'powerbookG4', 'powerbooks']",False
prefix,pidgin,23,"['Pidging', 'pidgin_', 'pidging', 'pidginho', 'pidgins']",False
prefix,backtrack,23,"['Backtrack4', 'backtrack2', 'backtrack4', 'backtrack5', 'backtracking']",False
prefix,syntax,23,"['SyntaxError', 'SyntaxError55', 'syntaxerror', 'syntaxerror55', 'syntaxes']",False
prefix,systems,22,"['systems7', 'systemsettings', 'systemsit', 'systemstart', 'systemstuff']",False
prefix,ssid,22,"['SSIDNAME', 'SSID_NAME', 'SSIDs', 'ssids']",False
prefix,gateway,22,"['gateway6', 'gatewaydawg', 'gateways']",False
prefix,sqlite,20,"['SQLite3', 'Sqlite3', 'sqlite3']",True
prefix,macbook,20,"['MacBookPro', 'macbookkpro', 'macbookpro', 'macbookpro8']",False
prefix,amarok,20,"['AMAROKKKKKKKKK', 'Amarok2', 'amarok14', 'amarok2', 'amarokker']",False
prefix,wget,20,"['wgeting', 'wgetpaste', 'wgetpro', 'wgets', 'wgetting']",False
prefix,nickserv,20,"['NickServe', 'nickserve', 'nickserved', 'nickserver', 'nickservice']",False
prefix,vista,20,"['VISTA32', 'VistaUser', 'vista64bit', 'vistas', 'vistauser']",False
prefix,skype,19,"['Skype_in', 'skypent', 'skypeout', 'skyperecording', 'skypes']",False
prefix,interface,19,"['INTERFACE_NAME', 'InterfaceLift', 'interfaced', 'interfacelift', 'interfacename']",False
prefix,fdisk,19,"['fdisked', 'fdisking', 'fdisks', 'fdiskto']",False
prefix,submit,18,"['SubmitingPatches', 'submited', 'submition', 'submits', 'submitted']",False
prefix,service,18,"['Servicename', 'serviceconfig', 'servicename', 'servicepack', 'serviceway']",False
prefix,totem,18,"['TOTEMPLAYER', 'Totemplayer', 'totemmovie', 'totemuse', 'totemxine']",False
prefix,evolution,17,"['Evolution2', 'EvolutionR', 'evolution2', 'evolutionr', 'evolutions']",False
prefix,gutsy,17,"['GutsyUser', 'Gutsys', 'gutsy_gorilla', 'gutsys', 'gutsysources']",False
prefix,offtopic,16,"['offtopice', 'offtopicing', 'offtopicking', 'offtopicness', 'offtopics']",False
prefix,ext3,15,"['ext3fs', 'ext3grep', 'ext3st']",False
prefix,openoffice,15,"['OpenOffice3', 'openoffice2', 'openoffice3', 'openoffice31', 'openoffice311']",True
prefix,edgy,15,"['edgy360', 'edgyeft', 'edgyfinal', 'edgykernel', 'edgys']",False
prefix,tail,15,"['tailer', 'tailf', 'tailored', 'tails', 'tailsfan']",False
prefix,hoary,15,"['HoaryHedgehog', 'hoarycripple', 'hoaryfied', 'hoaryfina', 'hoarys']",False
prefix,bandwidth,15,"['bandwidthd', 'bandwidthread', 'bandwidths', 'bandwidthusage']",False
prefix,library,15,"['libraryconflict', 'libraryimporting', 'libraryoffice', 'librarys']",False
prefix,operator,14,['operators'],False
prefix,installed,14,"['installeds', 'installedthe', 'installedubuntu', 'installedunbutu', 'installedyet']",False
prefix,thunderbird,13,"['Thunderbird2', 'thunderbird2', 'thunderbird3', 'thunderbirdis', 'thunderbirds']",False
prefix,netinstall,13,"['netinstaller', 'netinstalling', 'netinstalll', 'netinstalls']",False
prefix,feisty,13,"['FeistyFawn', 'FeistyLAMP', 'feistyfawn', 'feistynofluff', 'feistyu']",False
prefix,wubi,12,"['wubi1004', 'wubiguide', 'wubildr', 'wubily', 'wubis']",False
prefix,passwd,12,"['passwd_3', 'passwd_timeout', 'passwdfiel', 'passwdfile', 'passwds']",False
prefix,ext4,12,"['Ext4fs', 'ext43', 'ext45', 'ext4dev', 'ext4fs']",False
prefix,wacom,12,"['WACOMalt', 'wacomOpenTablet', 'wacomalt', 'wacomcpl', 'wacoms']",False
prefix,fstab,12,"['fstabab', 'fstabb', 'fstabe', 'fstabing', 'fstabs']",False
prefix,dependency,12,['dependencys'],False
prefix,traceroute,12,"['traceroute6', 'traceroutes']",False
prefix,hardy,12,"['HardyHeroin', 'hardyRC1', 'hardyone', 'hardys', 'hardysources']",False
prefix,running,12,"['running8', 'running_rabbit', 'running_rabbit07', 'runningbreezy', 'runnings']",False
prefix,mozilla,12,"['MozillaGueirill', 'mozillanerd', 'mozillaplugins', 'mozillaproblem', 'mozillateam']",False
prefix,vfat,12,"['vfat32', 'vfatrw', 'vfats']",False
prefix,displays,11,"['DisplaySize', 'DisplaysPerHost', 'displaysize']",False
prefix,reopen,11,"['reopened', 'reopening']",False
prefix,virtualbox,10,"['VirtualBox2', 'VirtualBoxGuestAdditions', 'VirtualBoxOSE', 'virtualboxed', 'virtualboxes']",False
prefix,trackpad,10,['trackpads'],False
prefix,cmake,10,"['CMAKE_CXX', 'CMAKE_CXX_COMPILER', 'CMakeLists', 'cmakelist', 'cmakelists']",False
prefix,indicator,9,"['Indicators', 'indicatorapplet', 'indicators']",False
prefix,putty,9,"['Puttys', 'puttyFtp', 'puttySSH', 'puttygen', 'puttyscp']",False
prefix,irssi,9,"['IrssiUrlLog', 'irssie', 'irssifan', 'irssii', 'irssis']",False
prefix,dpkg,8,"['DpkgTerminalLog', 'dpkgI', 'dpkgbased', 'dpkglock', 'dpkgreconfigure']",False
prefix,hosting,8,"['HostingGeek', 'hostings', 'hostingspace']",False
prefix,warty,8,"['Warty64', 'WartyWarthog', 'warty0', 'wartyWardog', 'wartyyyy']",False
