word,total_count,categories
30,1295,has_digit|mismatch_has_digit
tv,1287,mismatch_plain|plain
xserver,1261,mismatch_plain|plain
winehq,1228,mismatch_plain|plain
startx,1226,mismatch_plain|plain
lsb,1214,mismatch_plain|plain
cds,1214,mismatch_plain|plain
modprobe,1213,mismatch_plain|plain
hola,1191,mismatch_plain|plain
nfs,1179,mismatch_plain|plain
pci,1174,mismatch_plain|plain
gstreamer,1169,mismatch_plain|plain
12,1165,has_digit|mismatch_has_digit
gz,1147,mismatch_plain|plain
firestarter,1143,mismatch_plain|plain
tnx,1142,mismatch_plain|plain
broadcom,1138,mismatch_plain|plain
googling,1120,mismatch_plain|plain
x86,1120,has_digit|mismatch_has_digit
fs,1118,mismatch_plain|plain
netbook,1114,mismatch_plain|plain
vm,1107,mismatch_plain|plain
msn,1103,mismatch_plain|plain
screenshot,1098,mismatch_plain|plain
lvm,1076,mismatch_plain|plain
lan,1073,mismatch_plain|plain
ie,1066,mismatch_plain|plain
html,1062,mismatch_plain|plain
gksudo,1058,mismatch_plain|plain
wep,1056,mismatch_plain|plain
11,1051,has_digit|mismatch_has_digit
distros,1037,mismatch_plain|plain
wlan0,1030,has_digit|mismatch_has_digit
isp,1025,mismatch_plain|plain
lsusb,1011,mismatch_plain|plain
actionparsnip,1005,mismatch_plain|plain
rc,997,mismatch_plain|plain
unix,993,mismatch_plain|plain
resize,992,mismatch_plain|plain
codec,988,mismatch_plain|plain
vbox,984,mismatch_plain|plain
chroot,984,mismatch_plain|plain
tty,981,mismatch_plain|plain
hda,962,mismatch_plain|plain
00,960,has_digit|mismatch_has_digit
cron,950,mismatch_plain|plain
yeh,944,mismatch_plain|plain
eth1,942,has_digit|mismatch_has_digit
vga,910,mismatch_plain|plain
amsn,908,mismatch_plain|plain
ffmpeg,896,mismatch_plain|plain
24,890,has_digit|mismatch_has_digit
50,887,has_digit|mismatch_has_digit
lst,881,mismatch_plain|plain
xine,880,mismatch_plain|plain
ikonia,853,mismatch_plain|plain
lubuntu,835,mismatch_plain|plain
comp,833,mismatch_plain|plain
suse,823,mismatch_plain|plain
geforce,823,mismatch_plain|plain
ccsm,822,mismatch_plain|plain
smb,805,mismatch_plain|plain
mm,801,mismatch_plain|plain
conky,795,mismatch_plain|plain
dsl,793,mismatch_plain|plain
apache2,768,has_digit|mismatch_has_digit
snd,768,mismatch_plain|plain
unrar,761,mismatch_plain|plain
init,761,mismatch_plain|plain
rar,759,mismatch_plain|plain
w32codecs,753,has_digit|mismatch_has_digit
fps,753,mismatch_plain|plain
diff,751,mismatch_plain|plain
touchpad,750,mismatch_plain|plain
16,743,has_digit|mismatch_has_digit
ppc,740,mismatch_plain|plain
mmm,737,mismatch_plain|plain
grr,730,mismatch_plain|plain
thankyou,723,mismatch_plain|plain
bittorrent,704,mismatch_plain|plain
seveas,700,mismatch_plain|plain
jrib,697,mismatch_plain|plain
glxgears,695,mismatch_plain|plain
ogg,683,mismatch_plain|plain
osx,682,mismatch_plain|plain
xrandr,680,mismatch_plain|plain
un,679,mismatch_plain|plain
harddrive,678,mismatch_plain|plain
gnomebaker,678,mismatch_plain|plain
gpu,676,mismatch_plain|plain
uuid,672,mismatch_plain|plain
res,665,mismatch_plain|plain
bazhang,664,mismatch_plain|plain
md5sum,663,has_digit|mismatch_has_digit
lsmod,661,mismatch_plain|plain
x11,650,has_digit|mismatch_has_digit
gl,650,mismatch_plain|plain
opengl,649,mismatch_plain|plain
avi,648,mismatch_plain|plain
wicd,634,mismatch_plain|plain
googled,619,mismatch_plain|plain
syslog,614,mismatch_plain|plain
umount,614,mismatch_plain|plain
medibuntu,607,mismatch_plain|plain
ath,603,mismatch_plain|plain
utf,598,mismatch_plain|plain
dma,597,mismatch_plain|plain
pici,596,mismatch_plain|plain
sed,595,mismatch_plain|plain
foo,584,mismatch_plain|plain
webmin,583,mismatch_plain|plain
60,583,has_digit|mismatch_has_digit
lshw,578,mismatch_plain|plain
lcd,572,mismatch_plain|plain
14,572,has_digit|mismatch_has_digit
exe,571,mismatch_plain|plain
ll,568,mismatch_plain|plain
onboard,566,mismatch_plain|plain
knoppix,564,mismatch_plain|plain
asus,559,mismatch_plain|plain
synaptics,555,mismatch_plain|plain
umask,554,mismatch_plain|plain
22,554,has_digit|mismatch_has_digit
nmap,544,mismatch_plain|plain
ap,536,mismatch_plain|plain
atheros,534,mismatch_plain|plain
logout,532,mismatch_plain|plain
dhclient,527,mismatch_plain|plain
gt,527,mismatch_plain|plain
tx,523,mismatch_plain|plain
sshd,523,mismatch_plain|plain
alguien,522,mismatch_plain|plain
ubuntuforums,520,mismatch_plain|plain
mythtv,520,mismatch_plain|plain
mirc,518,mismatch_plain|plain
17,516,has_digit|mismatch_has_digit
redhat,515,mismatch_plain|plain
aw,507,mismatch_plain|plain
frostwire,504,mismatch_plain|plain
bcm,501,mismatch_plain|plain
40,500,has_digit|mismatch_has_digit
sys,497,mismatch_plain|plain
pelo,495,mismatch_plain|plain
commandline,493,mismatch_plain|plain
linksys,490,mismatch_plain|plain
freebsd,490,mismatch_plain|plain
nvu,490,mismatch_plain|plain
13,485,has_digit|mismatch_has_digit
workaround,483,mismatch_plain|plain
libdvdcss,483,mismatch_plain|plain
mp3s,483,has_digit|mismatch_has_digit
checkinstall,482,mismatch_plain|plain
easyubuntu,482,mismatch_plain|plain
18,479,has_digit|mismatch_has_digit
madwifi,478,mismatch_plain|plain
ui,478,mismatch_plain|plain
crontab,477,mismatch_plain|plain
yeap,476,mismatch_plain|plain
dl,475,mismatch_plain|plain
hd0,475,has_digit|mismatch_has_digit
aint,475,mismatch_plain|plain
uk,474,mismatch_plain|plain
iwlist,469,mismatch_plain|plain
rw,468,mismatch_plain|plain
386,468,has_digit|mismatch_has_digit
nop,468,mismatch_plain|plain
cmd,465,mismatch_plain|plain
everytime,464,mismatch_plain|plain
80,462,has_digit|mismatch_has_digit
seperate,461,mismatch_plain|plain
sda1,458,has_digit|mismatch_has_digit
usplash,455,mismatch_plain|plain
openbox,455,mismatch_plain|plain
gftp,454,mismatch_plain|plain
bsd,452,mismatch_plain|plain
gnome2,449,has_digit|mismatch_has_digit
teh,449,mismatch_plain|plain
rt,448,mismatch_plain|plain
jre,447,mismatch_plain|plain
bz,447,mismatch_plain|plain
1000,447,has_digit|mismatch_has_digit
cvs,446,mismatch_plain|plain
erusul,446,mismatch_plain|plain
clamav,443,mismatch_plain|plain
kopete,436,mismatch_plain|plain
limewire,434,mismatch_plain|plain
appdb,434,mismatch_plain|plain
esc,432,mismatch_plain|plain
avidemux,432,mismatch_plain|plain
ext,430,mismatch_plain|plain
usa,426,mismatch_plain|plain
initrd,426,mismatch_plain|plain
readme,425,mismatch_plain|plain
runlevel,421,mismatch_plain|plain
dri,421,mismatch_plain|plain
99,420,has_digit|mismatch_has_digit
atleast,420,mismatch_plain|plain
glx,418,mismatch_plain|plain
xsession,416,mismatch_plain|plain
ljl,415,mismatch_plain|plain
scsi,415,mismatch_plain|plain
1024,415,has_digit|mismatch_has_digit
gtkpod,414,mismatch_plain|plain
essid,414,mismatch_plain|plain
gah,414,mismatch_plain|plain
mpeg,414,mismatch_plain|plain
dialup,413,mismatch_plain|plain
that'd,411,mismatch_plain|plain
twinview,411,mismatch_plain|plain
gksu,411,mismatch_plain|plain
hw,411,mismatch_plain|plain
25,409,has_digit|mismatch_has_digit
wmv,407,mismatch_plain|plain
xinerama,405,mismatch_plain|plain
usr,404,mismatch_plain|plain
04,404,has_digit|mismatch_has_digit
19,404,has_digit|mismatch_has_digit
512,403,has_digit|mismatch_has_digit
svn,400,mismatch_plain|plain
ew,400,mismatch_plain|plain
winxp,399,mismatch_plain|plain
php5,398,has_digit|mismatch_has_digit
ng,398,mismatch_plain|plain
ssd,395,mismatch_plain|plain
iam,395,mismatch_plain|plain
mx,394,mismatch_plain|plain
n00b,392,has_digit|mismatch_has_digit
777,391,has_digit|mismatch_has_digit
686,390,has_digit|mismatch_has_digit
bz2,389,has_digit|mismatch_has_digit
cdrecord,388,mismatch_plain|plain
logitech,388,mismatch_plain|plain
manpage,384,mismatch_plain|plain
ubuntuguide,384,mismatch_plain|plain
gnome3,376,has_digit|mismatch_has_digit
win7,376,has_digit|mismatch_has_digit
90,376,has_digit|mismatch_has_digit
da,375,mismatch_plain|plain
i686,374,has_digit|mismatch_has_digit
xfree,373,mismatch_plain|plain
nickrud,373,mismatch_plain|plain
slart,373,mismatch_plain|plain
jsut,372,mismatch_plain|plain
rtorrent,372,mismatch_plain|plain
ips,372,mismatch_plain|plain
ktorrent,371,mismatch_plain|plain
hdparm,369,mismatch_plain|plain
proftpd,367,mismatch_plain|plain
makefile,367,mismatch_plain|plain
reiserfs,365,mismatch_plain|plain
xfs,365,mismatch_plain|plain
fullscreen,359,mismatch_plain|plain
ssl,359,mismatch_plain|plain
ifup,358,mismatch_plain|plain
mem,358,mismatch_plain|plain
000,358,has_digit|mismatch_has_digit
pre,356,mismatch_plain|plain
filesystems,355,mismatch_plain|plain
configs,351,mismatch_plain|plain
multi,351,mismatch_plain|plain
txt,350,mismatch_plain|plain
crt,347,mismatch_plain|plain
defrag,345,mismatch_plain|plain
smp,344,mismatch_plain|plain
freenx,342,mismatch_plain|plain
il,342,mismatch_plain|plain
tks,341,mismatch_plain|plain
anjuta,340,mismatch_plain|plain
hotplug,340,mismatch_plain|plain
bs,339,mismatch_plain|plain
hdmi,336,mismatch_plain|plain
vsftpd,336,mismatch_plain|plain
whois,335,mismatch_plain|plain
realplayer,334,mismatch_plain|plain
gpl,334,mismatch_plain|plain
01,333,has_digit|mismatch_has_digit
drm,333,mismatch_plain|plain
mc,332,mismatch_plain|plain
xfce4,332,has_digit|mismatch_has_digit
español,330,latin_extended|mismatch_latin_extended
ther,329,mismatch_plain|plain
any1,329,has_digit|mismatch_has_digit
mpg,327,mismatch_plain|plain
glxinfo,327,mismatch_plain|plain
pppoe,326,mismatch_plain|plain
rythmbox,323,mismatch_plain|plain
clonezilla,322,mismatch_plain|plain
windoze,322,mismatch_plain|plain
prefs,321,mismatch_plain|plain
httpd,321,mismatch_plain|plain
fx,320,mismatch_plain|plain
screenshots,319,mismatch_plain|plain
workgroup,318,mismatch_plain|plain
espaol,318,mismatch_plain|plain
amule,318,mismatch_plain|plain
dcc,317,mismatch_plain|plain
hrmm,317,mismatch_plain|plain
pcs,316,mismatch_plain|plain
lappy,316,mismatch_plain|plain
idleone,315,mismatch_plain|plain
adduser,314,mismatch_plain|plain
libc,314,mismatch_plain|plain
tarball,313,mismatch_plain|plain
wrt,312,mismatch_plain|plain
photoshop,311,mismatch_plain|plain
bootup,311,mismatch_plain|plain
je,310,mismatch_plain|plain
bitchx,309,mismatch_plain|plain
mp3's,308,has_digit|mismatch_has_digit
imap,305,mismatch_plain|plain
tcp,305,mismatch_plain|plain
nada,305,mismatch_plain|plain
cfdisk,305,mismatch_plain|plain
21,305,has_digit|mismatch_has_digit
200,304,has_digit|mismatch_has_digit
ack,303,mismatch_plain|plain
crimsun,302,mismatch_plain|plain
tech,301,mismatch_plain|plain
e17,299,has_digit|mismatch_has_digit
edubuntu,298,mismatch_plain|plain
256,297,has_digit|mismatch_has_digit
nonfree,296,mismatch_plain|plain
wpa2,295,has_digit|mismatch_has_digit
ldap,295,mismatch_plain|plain
nomodeset,294,mismatch_plain|plain
aircrack,293,mismatch_plain|plain
konqueror,293,mismatch_plain|plain
gnea,292,mismatch_plain|plain
divx,291,mismatch_plain|plain
helo,289,mismatch_plain|plain
soundray,288,mismatch_plain|plain
dvi,288,mismatch_plain|plain
partimage,288,mismatch_plain|plain
xen,287,mismatch_plain|plain
dv,286,mismatch_plain|plain
errr,286,mismatch_plain|plain
devede,286,mismatch_plain|plain
sux,285,mismatch_plain|plain
eeepc,285,mismatch_plain|plain
floodbot,285,mismatch_plain|plain
frontend,284,mismatch_plain|plain
23,284,has_digit|mismatch_has_digit
ment,284,mismatch_plain|plain
opensource,283,mismatch_plain|plain
dont,281,mismatch_plain|plain
oic,281,mismatch_plain|plain
sshfs,281,mismatch_plain|plain
pms,280,mismatch_plain|plain
symlinks,280,mismatch_plain|plain
compizconfig,279,mismatch_plain|plain
ipw,279,mismatch_plain|plain
p2p,278,has_digit|mismatch_has_digit
visudo,278,mismatch_plain|plain
x64,278,has_digit|mismatch_has_digit
kewl,278,mismatch_plain|plain
kde4,277,has_digit|mismatch_has_digit
flac,277,mismatch_plain|plain
ata,276,mismatch_plain|plain
noapic,276,mismatch_plain|plain
agp,275,mismatch_plain|plain
500,275,has_digit|mismatch_has_digit
mandriva,274,mismatch_plain|plain
truecrypt,272,mismatch_plain|plain
habla,272,mismatch_plain|plain
filenames,272,mismatch_plain|plain
harddisk,272,mismatch_plain|plain
tha,270,mismatch_plain|plain
mdadm,270,mismatch_plain|plain
framebuffer,268,mismatch_plain|plain
bob2,268,has_digit|mismatch_has_digit
soo,265,mismatch_plain|plain
mpd,264,mismatch_plain|plain
dbus,263,mismatch_plain|plain
ich,262,mismatch_plain|plain
gkrellm,262,mismatch_plain|plain
128,262,has_digit|mismatch_has_digit
ro,262,mismatch_plain|plain
konversation,261,mismatch_plain|plain
ve,261,mismatch_plain|plain
uncomment,260,mismatch_plain|plain
pkg,259,mismatch_plain|plain
adsl,259,mismatch_plain|plain
xmodmap,258,mismatch_plain|plain
b43,258,has_digit|mismatch_has_digit
xev,257,mismatch_plain|plain
utorrent,256,mismatch_plain|plain
devs,255,mismatch_plain|plain
gstreamer0,255,has_digit|mismatch_has_digit
css,255,mismatch_plain|plain
backport,253,mismatch_plain|plain
ps3,253,has_digit|mismatch_has_digit
xbmc,252,mismatch_plain|plain
kdm,252,mismatch_plain|plain
ibook,252,mismatch_plain|plain
heya,252,mismatch_plain|plain
thunar,251,mismatch_plain|plain
2d,251,has_digit|mismatch_has_digit
gzip,250,mismatch_plain|plain
cifs,250,mismatch_plain|plain
reiser,250,mismatch_plain|plain
humm,249,mismatch_plain|plain
rmmod,248,mismatch_plain|plain
fixres,248,mismatch_plain|plain
hdb,247,mismatch_plain|plain
m8,247,has_digit|mismatch_has_digit
28,246,has_digit|mismatch_has_digit
pastebinit,246,mismatch_plain|plain
aptoncd,246,mismatch_plain|plain
netgear,245,mismatch_plain|plain
webserver,245,mismatch_plain|plain
sendmail,244,mismatch_plain|plain
sudoers,244,mismatch_plain|plain
centos,243,mismatch_plain|plain
aiglx,243,mismatch_plain|plain
libdvdcss2,243,has_digit|mismatch_has_digit
filezilla,242,mismatch_plain|plain
gracias,241,mismatch_plain|plain
gf,241,mismatch_plain|plain
xbox,241,mismatch_plain|plain
ou,240,mismatch_plain|plain
nx,240,mismatch_plain|plain
hda1,239,has_digit|mismatch_has_digit
aight,239,mismatch_plain|plain
dirs,238,mismatch_plain|plain
qtparted,238,mismatch_plain|plain
ii,236,mismatch_plain|plain
zykotick,236,mismatch_plain|plain
ascii,235,mismatch_plain|plain
755,233,has_digit|mismatch_has_digit
screenlets,232,mismatch_plain|plain
imagemagick,232,mismatch_plain|plain
cn,232,mismatch_plain|plain
70,231,has_digit|mismatch_has_digit
inet,231,mismatch_plain|plain
salut,231,mismatch_plain|plain
ofcourse,230,mismatch_plain|plain
llutz,230,mismatch_plain|plain
xf,229,mismatch_plain|plain
cc,229,mismatch_plain|plain
wav,228,mismatch_plain|plain
mountpoint,228,mismatch_plain|plain
utils,228,mismatch_plain|plain
fc,227,mismatch_plain|plain
cafuego,227,mismatch_plain|plain
abiword,226,mismatch_plain|plain
installable,226,mismatch_plain|plain
nalioth,226,mismatch_plain|plain
fi,225,mismatch_plain|plain
passphrase,225,mismatch_plain|plain
27,225,has_digit|mismatch_has_digit
f1,225,has_digit|mismatch_has_digit
dist,225,mismatch_plain|plain
404,225,has_digit|mismatch_has_digit
cdc,224,plain
gnomefreak,223,mismatch_plain|plain
dreamweaver,223,mismatch_plain|plain
ppp,223,mismatch_plain|plain
zykotick9,223,has_digit|mismatch_has_digit
xinitrc,223,mismatch_plain|plain
wil,222,mismatch_plain|plain
borked,222,mismatch_plain|plain
uncheck,222,mismatch_plain|plain
pkill,222,mismatch_plain|plain
thoreauputic,222,mismatch_plain|plain
netbeans,221,mismatch_plain|plain
spyware,220,mismatch_plain|plain
600,220,has_digit|mismatch_has_digit
rss,220,mismatch_plain|plain
int,219,mismatch_plain|plain
ko,219,mismatch_plain|plain
unbuntu,219,mismatch_plain|plain
aplay,218,mismatch_plain|plain
realise,217,mismatch_plain|plain
warcraft,217,mismatch_plain|plain
partion,216,mismatch_plain|plain
vb,215,mismatch_plain|plain
tvtime,215,mismatch_plain|plain
iceroot,214,mismatch_plain|plain
ver,214,mismatch_plain|plain
backend,213,mismatch_plain|plain
w3m,213,has_digit|mismatch_has_digit
netsplit,213,mismatch_plain|plain
urls,213,mismatch_plain|plain
usefull,213,mismatch_plain|plain
pw,213,mismatch_plain|plain
wols,213,mismatch_plain|plain
audigy,212,mismatch_plain|plain
workin,212,mismatch_plain|plain
ifdown,212,mismatch_plain|plain
auth,212,mismatch_plain|plain
kdevelop,211,mismatch_plain|plain
metapackage,211,mismatch_plain|plain
xkill,211,mismatch_plain|plain
hy,210,mismatch_plain|plain
unmute,210,mismatch_plain|plain
openvpn,210,mismatch_plain|plain
blkid,209,mismatch_plain|plain
opensuse,209,mismatch_plain|plain
800,209,has_digit|mismatch_has_digit
mp4,208,has_digit|mismatch_has_digit
fo,208,mismatch_plain|plain
xml,207,mismatch_plain|plain
awk,207,mismatch_plain|plain
ompaul,207,mismatch_plain|plain
dpi,206,mismatch_plain|plain
ebox,206,mismatch_plain|plain
31,206,has_digit|mismatch_has_digit
solaris,206,mismatch_plain|plain
irq,206,mismatch_plain|plain
ist,205,mismatch_plain|plain
archlinux,205,mismatch_plain|plain
eee,204,mismatch_plain|plain
ath0,204,has_digit|mismatch_has_digit
madpilot,204,mismatch_plain|plain
marillat,203,mismatch_plain|plain
por,203,mismatch_plain|plain
ahve,203,mismatch_plain|plain
ubuntustudio,202,mismatch_plain|plain
xvid,201,mismatch_plain|plain
ncurses,201,mismatch_plain|plain
proc,200,mismatch_plain|plain
300,200,has_digit|mismatch_has_digit
usermod,199,mismatch_plain|plain
192,199,has_digit|mismatch_has_digit
35,199,has_digit|mismatch_has_digit
xfree86,199,has_digit|mismatch_has_digit
geany,198,mismatch_plain|plain
02,198,has_digit|mismatch_has_digit
vaio,198,mismatch_plain|plain
win32,198,has_digit|mismatch_has_digit
unop,198,mismatch_plain|plain
img,197,mismatch_plain|plain
rdesktop,197,mismatch_plain|plain
75,196,has_digit|mismatch_has_digit
45,196,has_digit|mismatch_has_digit
26,196,has_digit|mismatch_has_digit
knwo,196,mismatch_plain|plain
fwcutter,196,mismatch_plain|plain
www,196,mismatch_plain|plain
exaile,196,mismatch_plain|plain
sebsebseb,195,mismatch_plain|plain
tightvnc,195,mismatch_plain|plain
nics,194,mismatch_plain|plain
nohup,194,mismatch_plain|plain
untill,194,mismatch_plain|plain
deps,194,mismatch_plain|plain
rpms,193,mismatch_plain|plain
ff3,193,has_digit|mismatch_has_digit
icewm,193,mismatch_plain|plain
ffs,193,mismatch_plain|plain
smbfs,192,mismatch_plain|plain
opps,192,mismatch_plain|plain
cpus,192,mismatch_plain|plain
512mb,192,has_digit|mismatch_has_digit
isos,191,mismatch_plain|plain
espanol,191,mismatch_plain|plain
havn't,191,mismatch_plain|plain
wht,191,mismatch_plain|plain
hd1,191,has_digit|mismatch_has_digit
255,190,has_digit|mismatch_has_digit
ftpd,190,mismatch_plain|plain
ltsp,190,mismatch_plain|plain
smtp,190,mismatch_plain|plain
sda2,189,has_digit|mismatch_has_digit
lenovo,189,mismatch_plain|plain
lfs,189,mismatch_plain|plain
hte,188,mismatch_plain|plain
tht,188,mismatch_plain|plain
p4,188,has_digit|mismatch_has_digit
smeg,188,mismatch_plain|plain
goin,188,mismatch_plain|plain
amixer,188,mismatch_plain|plain
nforce,188,mismatch_plain|plain
sourceforge,187,mismatch_plain|plain
smbclient,187,mismatch_plain|plain
dia,187,mismatch_plain|plain
hfs,187,mismatch_plain|plain
gvfs,186,mismatch_plain|plain
400,186,has_digit|mismatch_has_digit
sory,186,mismatch_plain|plain
java6,186,has_digit|mismatch_has_digit
proberly,186,mismatch_plain|plain
openjdk,186,mismatch_plain|plain
ralink,186,mismatch_plain|plain
icq,186,mismatch_plain|plain
elinks,185,mismatch_plain|plain
goto,185,mismatch_plain|plain
regex,184,mismatch_plain|plain
mmmm,184,mismatch_plain|plain
bittornado,183,mismatch_plain|plain
athlon,182,mismatch_plain|plain
thks,182,mismatch_plain|plain
bruenig,182,mismatch_plain|plain
tis,182,mismatch_plain|plain
nouveau,181,mismatch_plain|plain
buntu,181,mismatch_plain|plain
hav,181,mismatch_plain|plain
unmuted,180,mismatch_plain|plain
ee,180,mismatch_plain|plain
libc6,180,has_digit|mismatch_has_digit
firewire,180,mismatch_plain|plain
okies,179,mismatch_plain|plain
xv,179,mismatch_plain|plain
cygwin,178,mismatch_plain|plain
f6,178,has_digit|mismatch_has_digit
shipit,177,mismatch_plain|plain
swapon,177,mismatch_plain|plain
sooo,176,mismatch_plain|plain
wma,176,mismatch_plain|plain
xset,176,mismatch_plain|plain
beleive,176,mismatch_plain|plain
indygunfreak,176,mismatch_plain|plain
gxine,176,mismatch_plain|plain
fixmbr,176,mismatch_plain|plain
ingles,175,mismatch_plain|plain
scunizi,175,mismatch_plain|plain
w00t,175,has_digit|mismatch_has_digit
devel,174,mismatch_plain|plain
0000,174,has_digit|mismatch_has_digit
virtualization,174,mismatch_plain|plain
teamviewer,173,mismatch_plain|plain
fg,173,mismatch_plain|plain
flv,173,mismatch_plain|plain
aqui,173,mismatch_plain|plain
glibc,173,mismatch_plain|plain
utc,172,mismatch_plain|plain
vncserver,172,mismatch_plain|plain
gfx,172,mismatch_plain|plain
ubuntus,172,mismatch_plain|plain
fn,172,mismatch_plain|plain
naw,172,mismatch_plain|plain
docky,171,mismatch_plain|plain
nt,171,mismatch_plain|plain
alguem,171,mismatch_plain|plain
powerpc,171,mismatch_plain|plain
befor,171,mismatch_plain|plain
rww,170,mismatch_plain|plain
yall,170,mismatch_plain|plain
sdb1,170,has_digit|mismatch_has_digit
63,170,has_digit|mismatch_has_digit
i810,169,has_digit|mismatch_has_digit
sdl,169,mismatch_plain|plain
wvdial,169,mismatch_plain|plain
winblows,169,mismatch_plain|plain
x11vnc,169,has_digit|mismatch_has_digit
wq,169,mismatch_plain|plain
addon,168,mismatch_plain|plain
ntp,168,mismatch_plain|plain
guis,168,mismatch_plain|plain
bzip,168,mismatch_plain|plain
dropbox,168,mismatch_plain|plain
soz,167,mismatch_plain|plain
dep,166,mismatch_plain|plain
fglrxinfo,166,mismatch_plain|plain
api,166,mismatch_plain|plain
33,166,has_digit|mismatch_has_digit
automagically,166,mismatch_plain|plain
kaffeine,165,mismatch_plain|plain
html5,165,has_digit|mismatch_has_digit
sa,164,mismatch_plain|plain
tty1,164,has_digit|mismatch_has_digit
ehm,164,mismatch_plain|plain
42,164,has_digit|mismatch_has_digit
nas,164,mismatch_plain|plain
autodetect,163,mismatch_plain|plain
msgs,163,mismatch_plain|plain
ttys,163,mismatch_plain|plain
src,163,mismatch_plain|plain
refering,163,mismatch_plain|plain
superuser,163,mismatch_plain|plain
noacpi,163,mismatch_plain|plain
bonjour,163,mismatch_plain|plain
mkfs,162,mismatch_plain|plain
xsane,162,mismatch_plain|plain
ps2,162,has_digit|mismatch_has_digit
unmounting,161,mismatch_plain|plain
scim,161,mismatch_plain|plain
xampp,161,mismatch_plain|plain
checksum,161,mismatch_plain|plain
dasei,161,mismatch_plain|plain
sysv,160,mismatch_plain|plain
chipsets,160,mismatch_plain|plain
php4,160,has_digit|mismatch_has_digit
recordmydesktop,160,mismatch_plain|plain
belkin,160,mismatch_plain|plain
98,160,has_digit|mismatch_has_digit
bla,160,mismatch_plain|plain
frogzoo,160,mismatch_plain|plain
graveman,160,mismatch_plain|plain
partitioner,159,mismatch_plain|plain
gdb,159,mismatch_plain|plain
lirc,159,mismatch_plain|plain
cpufreq,159,mismatch_plain|plain
chatzilla,159,mismatch_plain|plain
ubuntuone,159,mismatch_plain|plain
tr,158,mismatch_plain|plain
transcode,158,mismatch_plain|plain
ddr,157,mismatch_plain|plain
addons,157,mismatch_plain|plain
itll,157,mismatch_plain|plain
inetd,157,mismatch_plain|plain
06,157,has_digit|mismatch_has_digit
versa,157,mismatch_plain|plain
sdc,157,mismatch_plain|plain
hotmail,156,mismatch_plain|plain
fakeraid,156,mismatch_plain|plain
ht,156,mismatch_plain|plain
rdp,156,mismatch_plain|plain
unr,155,mismatch_plain|plain
fluxbuntu,155,mismatch_plain|plain
dlink,155,mismatch_plain|plain
accel,154,mismatch_plain|plain
shorewall,154,mismatch_plain|plain
bg,154,mismatch_plain|plain
teamspeak,154,mismatch_plain|plain
gthumb,154,mismatch_plain|plain
cinelerra,154,mismatch_plain|plain
crunchbang,154,mismatch_plain|plain
150,154,has_digit|mismatch_has_digit
failsafe,154,mismatch_plain|plain
recomend,154,mismatch_plain|plain
zsnes,154,mismatch_plain|plain
easytag,154,mismatch_plain|plain
pitivi,153,mismatch_plain|plain
todo,153,mismatch_plain|plain
msi,153,mismatch_plain|plain
probly,153,mismatch_plain|plain
eol,153,mismatch_plain|plain
debootstrap,153,mismatch_plain|plain
f11,152,has_digit|mismatch_has_digit
lc,152,mismatch_plain|plain
winmodem,152,mismatch_plain|plain
francais,152,mismatch_plain|plain
shuttleworth,151,mismatch_plain|plain
pero,151,mismatch_plain|plain
