Token,Type,Meaning
Σ(°△°|||)︴,Kaomoji,"Startled, shocked (with sweat drops)"
(( >_< )),Kaomoji,Wincing in pain or distress
:],Emoticon,"Happy face (simple smile, no curved mouth)"
=),Emoticon,Happy face (equals-eyes variant)
:/,Emoticon,Skeptical / unsure / awkward
:-/,Emoticon,Skeptical / unsure / awkward (dash variant)
:-|,Emoticon,Neutral / straight face (dash variant)
:'-),Emoticon,Tears of joy - laughing so hard you're crying
>:),Emoticon,Mischievous / devilish grin
^-^,Emoticon,Happy / closed-eye smile (variant of ^_^)
^.^,Emoticon,Happy / content smile (variant of ^_^)
>_<,Emoticon,"Wincing - pain, frustration, or embarrassment"
@_@,Emoticon,Dizzy / confused / overwhelmed
DX,Emoticon,Crying / pained / distressed (more intense than D:)
(-:,Emoticon,Reversed smile with nose (backwards variant of :-))
[:,Emoticon,Reversed smile (backwards variant of :])
(=,Emoticon,Reversed smile (backwards variant of =))
)-:,Emoticon,Reversed frown with nose (backwards variant of :-()
=(,Emoticon,Sad face (equals-eyes variant)
(;,Emoticon,Reversed wink (backwards variant of ;))
(-;,Emoticon,Reversed wink with nose (backwards variant of ;-))
(8,Emoticon,Reversed cool / sunglasses (backwards variant of 8))
/:,Emoticon,Skeptical / unsure (reversed variant of :/)
thru,Textese,Through
: ),Emoticon,Happy face (spaced variant)
: (,Emoticon,Sad face (spaced variant)
) :,Emoticon,Sad face - reversed frown (spaced variant)
( :,Emoticon,Happy face - reversed smiley (spaced variant)
: ' (,Emoticon,Crying (spaced variant)
:´),Emoticon,Tears of joy / crying while happy (accented variant)
+1,Slang,Agreement / upvote
plz,Textese,Please
prob,Slang,Problem / probably (context-dependent -- both senses seen in this corpus)
LMFAO,Slang,Laughing my fucking ass off
o.k.,Textese,Okay
kk,Textese,Okay
k,Textese,Okay (short single-character token -- risk of colliding with memory-size shorthand like 128k/512k in this corpus)
TYVM,Slang,Thank you very much
newbie,Slang,Beginner
noob,Slang,Beginner
newb,Slang,Beginner
thanx,Slang,Thanks
o,Expression,Oh
bot,Slang,Robot / automated program (e.g. IRC bot)
deja vu,Expression,A feeling of having already experienced the present situation
ppl,Slang,People
sry,Slang,Sorry
yay,Expression,Term of excitement
probs,Slang,Probably
bro,Slang,Brother
mins,Slang,Minutes
ic,Slang,I see
cuz,Slang,"Because (also informally used for ""cousin"")"
libs,Slang,"Libraries (also informally used for ""liberals"")"
woot,Expression,Term of excitement
srry,Slang,Sorry
noobs,Slang,"Plural of ""noob"" -- an inexperienced person"
woah,Expression,Mild surprise
alrighty,Slang,All right
lolz,Slang,"Another form of ""LOL"" (laughing out loud)"
bleh,Expression,Mild disgust or boredom
lil,Slang,Little
wassup,Slang,"Greeting -- short for ""what's up"""
oem,Slang,Original Equipment Manufacturer
laggy,Slang,Slow (technical performance)
fu,Slang,"Vulgar -- ""fuck you"""
haha,Expression,Laughing
hehe,Expression,Laughing
ooh,Expression,Sudden realization
ick,Expression,Expression of disgust
wah,Expression,Crying
booyah,Expression,"Slang expression of triumph, like a gotcha"
lolmao,Slang,"Rare slang combining ""lol"" and ""lmao"" into one"
nah,Slang,No
ish,Slang,Kind of / somewhat
kinda,Slang,Kind of / somewhat
sheesh,Expression,"Expression of strong feeling such as surprise, annoyance, or amazement"
sleepster,Slang,Person who is sleeping
lifehacker,Slang,"Person who uses shortcuts (""life hacks"") to get ahead in life"
holla,Slang,"Alternative for ""holler"" (to shout/contact) -- or possibly an informal spelling of ""hola"" -- meaning uncertain"
urs,Textese,Yours
pepe,Slang,"Slang for the ""Pepe the Frog"" meme character"
convo,Slang,Conversation
convos,Slang,Conversations
privmsg,Technical/IRC,Private message (IRC command)
aah,Expression,"English interjection used to express realization, surprise, sympathy, or pleasure"
erm,Expression,Expression of awkwardness or a pause to think
bletch,Expression,Old hacker-jargon expression of disgust or distaste
boink,Slang,"Hacker-jargon for a system crash/reboot, or informal slang for sex (context-dependent)"
fanboy,Slang,"An overly enthusiastic, uncritical fan of a product or brand"
fanboys,Slang,Plural of 'fanboy'
mem,Slang,Informal shorthand for 'memory' (RAM) in tech contexts
memes,Slang,"Plural of 'meme' -- a humorous image, video, or idea passed around online"
phreaking,Slang,"The practice of hacking telephone systems, historically linked to early hacker culture"
snark,Slang,A sarcastic or cutting remark
snarky,Slang,Sarcastic or mocking in tone
thunk,Slang,Meme slang for 'thought' (playful mock past-tense)
